date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:35	7379/7379	---M--	200	added ('OK')	image/png	date:Wed,%2011%20May%202016%2005:46:02%20GMT	http://usdtheme.com/preview-styles/img/logo/logo.png	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/img/logo/logo.png	(from http://usdtheme.com/preview-styles/)
16:14:36	55617/55617	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2015:17:32%20GMT	http://usdtheme.com/preview-styles/index-2.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/index-3.html	(from http://usdtheme.com/preview-styles/)
16:14:37	35785/35785	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2015:18:50%20GMT	http://usdtheme.com/preview-styles/about.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/about.html	(from http://usdtheme.com/preview-styles/)
16:14:38	31963/31963	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2015:15:36%20GMT	http://usdtheme.com/preview-styles/service.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/service.html	(from http://usdtheme.com/preview-styles/)
16:14:39	26484/26484	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2016:34:52%20GMT	http://usdtheme.com/preview-styles/sub-services-1.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/sub-services-1.html	(from http://usdtheme.com/preview-styles/)
16:14:40	26484/26484	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2016:36:06%20GMT	http://usdtheme.com/preview-styles/sub-services-2.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/sub-services-2.html	(from http://usdtheme.com/preview-styles/)
16:14:41	26484/26484	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2016:36:30%20GMT	http://usdtheme.com/preview-styles/sub-services-3.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/sub-services-3.html	(from http://usdtheme.com/preview-styles/)
16:14:42	36210/36210	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2015:16:40%20GMT	http://usdtheme.com/preview-styles/portfolio-1.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/portfolio-1.html	(from http://usdtheme.com/preview-styles/)
16:14:43	35984/35984	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2015:16:18%20GMT	http://usdtheme.com/preview-styles/portfolio-2.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/portfolio-2.html	(from http://usdtheme.com/preview-styles/)
16:14:44	341/341	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Sep%202017%2015:15:01%20GMT	http://usdtheme.com/preview-styles/blog.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/blog.1b.delayed	(from http://usdtheme.com/preview-styles/)
16:14:45	24135/24135	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2015:18:14%20GMT	http://usdtheme.com/preview-styles/blog-grid.html	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/blog-grid.html	(from http://usdtheme.com/preview-styles/)
